date,ticker,money,price,shares,total ,fees,sharpe
2024-01-13,DIS,2.3032862205778954,99.0771026611328,0.0,0.0,125.72,8.038797030118157
2024-01-13,GS,2.3032862205778954,359.95977783203125,0,0.0,125.72,8.038797030118157
2024-01-13,HD,2.3032862205778954,320.3271179199219,0,0.0,125.72,8.038797030118157
2024-01-13,HON,2.3032862205778954,210.7719268798828,0.0,0.0,125.72,8.038797030118157
2024-01-13,IBM,2.3032862205778954,137.73150634765625,1.0,137.73150634765625,125.72,8.038797030118157
2024-01-13,INTC,2.3032862205778954,29.33726692199707,0,0.0,125.72,8.038797030118157
2024-01-13,JNJ,2.3032862205778954,167.05386352539062,0,0.0,125.72,8.038797030118157
2024-01-13,JPM,2.3032862205778954,139.03892517089844,100.0,13903.892517089844,125.72,8.038797030118157
2024-01-13,KO,2.3032862205778954,59.55120086669922,100.0,5955.120086669922,125.72,8.038797030118157
2024-01-13,MCD,2.3032862205778954,261.4496765136719,0,0.0,125.72,8.038797030118157
2024-01-13,MMM,2.3032862205778954,120.1314468383789,100.0,12013.14468383789,125.72,8.038797030118157
2024-01-13,MRK,2.3032862205778954,109.19464874267578,200.0,21838.929748535156,125.72,8.038797030118157
2024-01-13,MSFT,2.3032862205778954,236.68972778320312,109.0,25799.18032836914,125.72,8.038797030118157
2024-01-13,NKE,2.3032862205778954,126.75289916992188,37.0,4689.857269287109,125.72,8.038797030118157
2024-01-13,PG,2.3032862205778954,146.22108459472656,0.0,0.0,125.72,8.038797030118157
2024-01-13,TRV,2.3032862205778954,188.71368408203125,0.0,0.0,125.72,8.038797030118157
2024-01-13,UNH,2.3032862205778954,480.4148864746094,0.0,0.0,125.72,8.038797030118157
2024-01-13,V,2.3032862205778954,220.8907165527344,0,0.0,125.72,8.038797030118157
2024-01-13,VZ,2.3032862205778954,38.95201110839844,0,0.0,125.72,8.038797030118157
2024-01-13,WBA,2.3032862205778954,33.92693328857422,0,0.0,125.72,8.038797030118157
2024-01-13,WMT,2.3032862205778954,47.7024040222168,0,0.0,125.72,8.038797030118157
2024-01-17,AAPL,2.3032862205778954,135.01210021972656,0.0,0.0,125.72,5.398398549103573
2024-01-17,AMGN,2.3032862205778954,258.37493896484375,0,0.0,125.72,5.398398549103573
2024-01-17,AXP,2.3032862205778954,151.54476928710938,0.0,0.0,125.72,5.398398549103573
2024-01-17,BA,2.3032862205778954,211.41000366210935,0,0.0,125.72,5.398398549103573
2024-01-17,CAT,2.3032862205778954,249.96109008789065,0,0.0,125.72,5.398398549103573
2024-01-17,CRM,2.3032862205778954,148.47000122070312,100.0,14847.000122070312,125.72,5.398398549103573
2024-01-17,CSCO,2.3032862205778954,46.659706115722656,101.0,4712.630317687988,125.72,5.398398549103573
2024-01-17,CVX,2.3032862205778954,171.79196166992188,0,0.0,125.72,5.398398549103573
2024-01-17,DIS,2.3032862205778954,99.58544158935548,0.0,0.0,125.72,5.398398549103573
2024-01-17,GS,2.3032862205778954,336.7837829589844,0,0.0,125.72,5.398398549103573
